2017-11-29 18:48:46, -59, 306
2017-11-29 18:48:46, -532, 383
2017-11-29 18:48:46, -596, 121
2017-11-29 18:48:46, -312, 165
2017-11-29 18:48:46, -433, 122
2017-11-29 18:48:46, -549, 110
2017-11-29 18:48:47, -606, 109
2017-11-29 18:48:47, -565, 196
2017-11-29 18:48:47, -514, 126
2017-11-29 18:48:47, -390, 116
2017-11-29 18:48:47, -441, 125
2017-11-29 18:48:47, -147, 58
2017-11-29 18:48:47, -509, 442
2017-11-29 18:48:47, -186, 354
2017-11-29 18:48:48, -568, 141
2017-11-29 18:48:48, -478, 138
2017-11-29 18:48:48, -311, 116
2017-11-29 18:48:48, -224, 162
2017-11-29 18:48:48, -143, 78
2017-11-29 18:48:48, -130, 649
2017-11-29 18:48:48, -461, 885
2017-11-29 18:48:48, -378, 104
2017-11-29 18:48:48, -101, 118
2017-11-29 18:48:49, -178, 1002
2017-11-29 18:48:49, -504, 119
2017-11-29 18:48:49, -523, 142
2017-11-29 18:48:49, -507, 137
2017-11-29 18:48:49, -447, 142
2017-11-29 18:48:49, -200, 381
2017-11-29 18:48:49, -232, 46
2017-11-29 18:48:49, -196, 1002
2017-11-29 18:48:50, -326, 120
2017-11-29 18:48:50, -590, 156
2017-11-29 18:48:50, -5, 1002
2017-11-29 18:48:50, -176, 170
2017-11-29 18:48:50, -179, 1002
2017-11-29 18:48:50, -496, 153
2017-11-29 18:48:50, -207, 1002
2017-11-29 18:48:51, -143, 1002
2017-11-29 18:48:51, -638, 134
2017-11-29 18:48:51, -138, 77
2017-11-29 18:48:51, -242, 74
2017-11-29 18:48:51, -80, 756
2017-11-29 18:48:51, -232, 257
2017-11-29 18:48:51, -154, 49
2017-11-29 18:48:51, -520, 219
2017-11-29 18:48:52, -142, 59
2017-11-29 18:48:52, -238, 1002
2017-11-29 18:48:52, -246, 1002
2017-11-29 18:48:52, -130, 80
2017-11-29 18:48:52, -492, 126
2017-11-29 18:48:52, -435, 126
2017-11-29 18:48:52, -119, 418
2017-11-29 18:48:52, -638, 143
2017-11-29 18:48:53, -475, 156
2017-11-29 18:48:53, -204, 259
2017-11-29 18:48:53, -600, 170
2017-11-29 18:48:53, -281, 1002
2017-11-29 18:48:53, -522, 149
2017-11-29 18:48:53, -151, 72
2017-11-29 18:48:53, -475, 108
2017-11-29 18:48:53, -172, 52
2017-11-29 18:48:53, -174, 300
2017-11-29 18:48:54, -123, 56
2017-11-29 18:48:54, -496, 138
2017-11-29 18:48:54, -376, 146
2017-11-29 18:48:54, -539, 841
2017-11-29 18:48:54, -604, 139
2017-11-29 18:48:54, -144, 244
2017-11-29 18:48:54, -170, 1002
